storeid,lat,lon,country,display_name,road,house_number,city,state,suburb,postcode,category,type,osm_type,osm_id
164399,-35.42720032,-71.65129852,,"1735, Calle 1 Norte, Villa Olavarría, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 1 Norte,1735,Talca,Región del Maule,,3461761,building,yes,way,564879196.0
193113,-35.43310165,-71.63040161,,"Mall Plaza Maule, 1055, Avenida Circunvalación 30 Oriente, Villa Don Matías, San Miguel, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Avenida Circunvalación 30 Oriente,1055,Talca,Región del Maule,San Miguel,3461761,shop,mall,way,110780381.0
193184,-35.42689896,-71.65570068,,"Farmacias Ahumada, Calle 1 Norte, Población Juan Antonio Ríos, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 1 Norte,,Talca,Región del Maule,,3461761,amenity,pharmacy,node,1239318067.0
200833,-35.41490173,-71.65170288,,"Calle 9½ Oriente, Villa Salamanca, Barrio Norte, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 9½ Oriente,,Talca,Región del Maule,Barrio Norte,3461761,highway,residential,way,1005119937.0
239019,-35.43170166,-71.60810089,,"Paseo Las Rastras, Avenida 9 Norte, Estancia Las Rastras, Esmeralda, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Avenida 9 Norte,,Talca,Región del Maule,Esmeralda,3461761,shop,mall,way,723880349.0
248535,-35.41930008,-71.65630341,,"Calle 7 Oriente, Villa San Esteban, Barrio Norte, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",Calle 7 Oriente,,Talca,Región del Maule,Barrio Norte,3461761,highway,residential,way,33530200.0
256903,-35.42810059,-71.66320038,,"Cruzero Ltda., 987, 2 Sur, Población Ferroviaria, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",2 Sur,987,Talca,Región del Maule,,3461761,building,yes,way,246196953.0
270067,-35.43510056,-71.67030334,,"Botillería España, Piduco, Población Diego Portales, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Piduco,,Talca,Región del Maule,La Florida,3460000,craft,winery,node,3165873878.0
273998,-35.4477005,-71.65950012,,"Población Colín 4, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",,,Talca,Región del Maule,,3461761,highway,living_street,way,110580168.0
282487,-35.43809891,-71.67060089,,"Pasaje Castilla, Independencia, La Florida, Talca, Provincia de Talca, Región del Maule, 3460000, Chile",Pasaje Castilla,,Talca,Región del Maule,La Florida,3460000,highway,residential,way,195058057.0
